,Cód. Cliente,Dt. Operação,Cód. Corretora,Cód. Título,Chave,Quantidade,Valor Líquido,Preço,Preço Var
0,Cliente 4,2023-08-01,XPIN,ELET3,42501A,900,-37395.815394863996,40.08549712179,7.099643928674717
0,Cliente 4,2023-08-01,XPIN,ELET3,42502A,900,-37978.64272084201,40.524604672449996,50.43417283592194
822078,Cliente 4,2023-08-01,XPIN,ELET3,42503A,800,-28205.78182136,35.2572272767,
0,Cliente 4,2023-08-01,XPIN,ELET3,42504A,2100,-79261.647359084,37.51974454220286,0.9023380613080901
0,Cliente 4,2023-08-01,XPIN,GOLL4,22449A,900,-8760.618506376,9.728064840725,0.005746241011667488
0,Cliente 4,2023-08-01,XPIN,INBR32,1650A,1300,-26137.71825607637,20.184864062218185,0.5137577398458197
0,Cliente 4,2023-08-01,XPIN,INBR32,1651A,2676,-50743.49904377818,19.239792594179352,2.124207892588188
822173,Cliente 4,2023-08-01,XPIN,INBR32,1652A,200,-4244.270268381818,21.22135134190909,
822172,Cliente 4,2023-08-01,XPIN,INBR32,1653A,100,-1963.820075304546,19.63820075304546,
822203,Cliente 4,2023-08-01,XPIN,JBSS3,22007A,600,-11924.921853609,19.874869756015,
0,Cliente 4,2023-08-01,XPIN,JBSS3,22008A,1300,-26794.7312537825,20.6359191709925,2.0102026955165826
0,Cliente 4,2023-08-01,XPIN,MGLU3,17213A,2300,-8176.056191979,3.483469845704,0.12180076258758357
0,Cliente 4,2023-08-01,XPIN,MGLU3,17214A,2600,-9730.379796556801,3.7036671520943996,0.08595100354758678
0,Cliente 4,2023-08-01,XPIN,MGLU3,17215A,2200,-7608.3796544436,3.472224587413,0.046429295908109465
0,Cliente 4,2023-08-01,XPIN,MGLU3,17216A,2700,-10103.008762599,3.7177907303832,0.10374612268685174
0,Cliente 4,2023-08-01,XPIN,MGLU3,17217A,9800,-34214.6233730956,3.552715555544364,0.1422651052468552
0,Cliente 4,2023-08-01,XPIN,MGLU3,17218A,5200,-17626.034987734,3.2981594693350003,0.019635488434206698
0,Cliente 4,2023-08-01,XPIN,MRFG3,16657A,2900,-24734.375117666,8.457916630552,0.32388385903245454
0,Cliente 4,2023-08-01,XPIN,MRFG3,16658A,5000,-41961.729638484,8.4228785437,0.45250842631277927
822316,Cliente 4,2023-08-01,XPIN,NINJ3,42433A,200,-697.3257784,3.486628892,
822311,Cliente 4,2023-08-01,XPIN,NINJ3,42434A,300,-1185.1060664,3.9503535546666666,
0,Cliente 4,2023-08-01,XPIN,PINE4,578A,3700,-13781.7569761872,3.682291297776,0.0984651800358411
0,Cliente 4,2023-08-01,XPIN,PINE4,579A,1200,-4955.8251403752,3.941897994944,0.21341582294775785
0,Cliente 4,2023-08-01,XPIN,PTBL3,30493A,1800,-15626.952759915,8.988564123667857,1.2857558950311154
822423,Cliente 4,2023-08-01,XPIN,PTBL3,30494A,100,-916.682345067,9.16682345067,
822456,Cliente 4,2023-08-01,XPIN,QUAL3,36254A,100,-509.7598488378,5.097598488378,
822456,Cliente 4,2023-08-01,XPIN,QUAL3,36255A,100,-509.7598488378,5.097598488378,
822458,Cliente 4,2023-08-01,XPIN,QUAL3,36256A,300,-1399.378015959,4.66459338653,
0,Cliente 4,2023-08-01,XPIN,QUAL3,36257A,2900,-13471.898804602699,4.6693390197355,0.233543207974347
0,Cliente 4,2023-08-01,XPIN,QUAL3,36258A,4600,-20136.7052842736,4.433492753737666,0.17229844441686268
0,Cliente 4,2023-08-01,XPIN,QUAL3,36259A,1700,-7993.029725072699,4.419048335888999,0.33465382198313215
822510,Cliente 4,2023-08-01,XPIN,USIM5,581A,200,-1465.753528992,7.328767644959999,
822509,Cliente 4,2023-08-01,XPIN,USIM5,583A,100,-717.3052392679999,7.173052392679999,
822561,Cliente 4,2023-08-01,XPIN,VALE3,36260A,400,-34244.129240694856,85.61032310173714,
0,Cliente 4,2023-08-01,XPIN,VALE3,36261A,500,-35748.032916832286,72.13508938804713,20.417555152786736
0,Cliente 4,2023-08-01,XPIN,VALE3,36262A,1900,-144271.0063626317,77.67948427096856,76.79121183145124
822565,Cliente 4,2023-08-01,XPIN,VALE3,36263A,500,-34688.326994991425,69.37665398998286,
0,Cliente 4,2023-08-01,XPIN,VAMO3,43391A,500,-6625.035671862222,13.295812461711112,0.10461249373350776
0,Cliente 4,2023-08-01,XPIN,VAMO3,43392A,1200,-15868.822849133336,12.906192862785185,2.4448269865427994
0,Cliente 4,2023-08-01,XPIN,WIZC3,41641A,3900,-25723.312558634,6.605019542167778,0.0002415156535272046
0,Cliente 4,2023-08-01,XPIN,WIZC3,41642A,3300,-22172.335026988003,6.842549790875692,0.5501045285368183
0,Cliente 4,2023-08-01,XPIN,WIZC3,41643A,900,-6507.2064489964005,7.406131294156,0.2005007947344723
0,Cliente 4,2023-08-01,XPIN,WIZC3,41665A,1700,-12572.222936473201,7.1397081514359995,0.9101917799952384
822679,Cliente 4,2023-08-02,XPIN,AURE3,17734A,500,-7352.095846625,14.704191693250001,
0,Cliente 4,2023-08-02,XPIN,AZUL4,43395A,400,-7164.973045685,17.9124326142125,0.5253793612630018
0,Cliente 4,2023-08-02,XPIN,AZUL4,43396A,1500,-27570.280414603007,18.032149242950005,3.806436754590902
0,Cliente 4,2023-08-02,XPIN,BBDC3,8577A,2400,-42421.26769271567,17.877027239021874,1.7673159940643823
822757,Cliente 4,2023-08-02,XPIN,BBDC3,8578A,200,-3274.7379625155972,16.373689812577986,
0,Cliente 4,2023-08-02,XPIN,BRFS3,584A,1000,-9585.838849828999,9.49454824966,0.41669868396080845
0,Cliente 4,2023-08-02,XPIN,BRFS3,585A,900,-9270.508890194998,10.5313449475575,0.9586653135396823
0,Cliente 4,2023-08-02,XPIN,CIEL3,16659A,300,-1524.4217982600003,5.002124778690001,0.11313920038937517
0,Cliente 4,2023-08-02,XPIN,CIEL3,16660A,1600,-7785.073626138001,4.886901204545,0.19888596614737256
0,Cliente 4,2023-08-02,XPIN,GFSA3,43397A,900,-5331.265305370501,6.20111404062,0.49894987670924035
0,Cliente 4,2023-08-02,XPIN,GFSA3,43398A,1000,-6693.094249792501,6.8042510837175,0.15444802160287507
0,Cliente 4,2023-08-02,XPIN,HASH11,30694A,12900,-335072.7048744284,26.24833812790025,4.336352783262966
0,Cliente 4,2023-08-02,XPIN,INBR32,1655A,909,-16970.898529828,18.737797376430382,0.6420687360658417
0,Cliente 4,2023-08-02,XPIN,LWSA3,26867A,700,-5396.460603062666,7.821808163874902,0.13800545826959715
823032,Cliente 4,2023-08-02,XPIN,LWSA3,26868A,200,-1513.9881562738826,7.569940781369413,
0,Cliente 4,2023-08-02,XPIN,LWSA3,26869A,22400,-175363.1516972248,7.8002666104044724,0.4431306693990001
823075,Cliente 4,2023-08-02,XPIN,MGLU3,17221A,300,-1000.1568220272001,3.333856073424,
823068,Cliente 4,2023-08-02,XPIN,MGLU3,17222A,200,-783.5072640096,3.9175363200480002,
0,Cliente 4,2023-08-02,XPIN,MGLU3,17223A,1100,-3982.0655464152005,3.6473779938400006,0.19528416286340117
0,Cliente 4,2023-08-02,XPIN,MGLU3,17224A,700,-2259.8363457744003,3.2415274413960002,0.01704915258432362
0,Cliente 4,2023-08-02,XPIN,NGRD3,16661A,3600,-7244.835719646,2.0455751102760003,0.026445391158485886
0,Cliente 4,2023-08-02,XPIN,NGRD3,16662A,6400,-12122.2173282792,1.9277061354714,0.03068210163926554
0,Cliente 4,2023-08-02,XPIN,PETR4,42505A,900,-30639.18749697,32.478888904499996,6.295530098526646
0,Cliente 4,2023-08-02,XPIN,QUAL3,36264A,3900,-16767.8516709601,4.395420570544499,0.1942726047694518
0,Cliente 4,2023-08-02,XPIN,QUAL3,36265A,3900,-18096.9754508652,4.658714285012888,0.1689323834232503
0,Cliente 4,2023-08-02,XPIN,QUAL3,36266A,6000,-26908.4175490789,4.408727213227917,0.17793231929989764
0,Cliente 4,2023-08-02,XPIN,QUAL3,36267A,2100,-8938.6618942509,4.226875333879249,0.11536021545598925
823252,Cliente 4,2023-08-02,XPIN,RAPT4,8675A,1000,-12631.69,12.63169,
0,Cliente 4,2023-08-02,XPIN,RAPT4,8676A,1400,-18693.583532822402,13.893211916028001,3.1828750892379136
823288,Cliente 4,2023-08-02,XPIN,RDOR3,586A,800,-28064.21,35.080262499999996,
823300,Cliente 4,2023-08-02,XPIN,RDOR3,587A,100,-3844.490984495999,38.44490984495999,
0,Cliente 4,2023-08-02,XPIN,SEQL3,1160A,8600,-8696.116019565956,1.0060422622998222,0.005300282702174906
0,Cliente 4,2023-08-02,XPIN,SEQL3,1161A,4300,-4212.373220417444,0.9947289363992137,0.008851859604176887
0,Cliente 4,2023-08-02,XPIN,SOMA3,17098A,4900,-57524.71114960781,11.907944905429888,0.873031422489331
0,Cliente 4,2023-08-02,XPIN,SOMA3,17099A,3100,-35187.3846681399,11.451798772092003,0.6871346993272516
0,Cliente 4,2023-08-02,XPIN,SOMA3,17100A,900,-10445.576833320301,11.150646277491001,1.2702854139027178
823397,Cliente 4,2023-08-02,XPIN,SOMA3,17101A,100,-1209.8000217744002,12.098000217744001,
823397,Cliente 4,2023-08-02,XPIN,SOMA3,17102A,100,-1209.8000217744002,12.098000217744001,
0,Cliente 4,2023-08-02,XPIN,SOMA3,17103A,600,-7879.8084307992,13.17087522009,0.025802425794991514
823411,Cliente 4,2023-08-02,XPIN,VALE3,36269A,400,-32189.316248307092,80.47329062076773,
823404,Cliente 4,2023-08-02,XPIN,VALE3,36272A,100,-6719.53,67.1953,
0,Cliente 4,2023-08-02,XPIN,VALE3,36273A,2300,-165373.8274330077,72.03613021524902,25.18981389510259
823463,Cliente 4,2023-08-02,XPIN,VAMO3,43399A,400,-4306.0538325,10.765134581249999,
0,Cliente 4,2023-08-02,XPIN,VAMO3,43400A,700,-9614.5270059375,13.2253248421875,1.0184477301411752
0,Cliente 4,2023-08-02,XPIN,VAMO3,43401A,1000,-11096.962916249999,11.253756415624999,0.47029269677100327
0,Cliente 4,2023-08-02,XPIN,VAMO3,43402A,1700,-20494.0956125,12.282996445833334,0.6112968136948467
0,Cliente 4,2023-08-02,XPIN,VAMO3,43403A,4000,-49523.2154859375,12.38608429453125,0.7869794995415688
0,Cliente 4,2023-08-02,XPIN,VAMO3,43404A,3200,-38136.023168437496,12.2290289625,0.4894555740917664
823497,Cliente 4,2023-08-02,XPIN,VIVA3,24435A,700,-21071.22,30.10174285714286,
0,Cliente 4,2023-08-02,XPIN,VIVA3,24436A,1700,-51229.0,30.13175972222222,0.0050169588001541966
823502,Cliente 4,2023-08-02,XPIN,VIVA3,24437A,300,-9045.53,30.15176666666667,
0,Cliente 4,2023-08-02,XPIN,VIVA3,24438A,2000,-60275.56,30.15513333333333,0.0016358358333333587
823508,Cliente 4,2023-08-02,XPIN,VIVA3,24439A,600,-17616.055300342665,29.360092167237774,
823497,Cliente 4,2023-08-02,XPIN,VIVA3,24443A,700,-21071.22,30.10174285714286,
0,Cliente 4,2023-08-02,XPIN,VIVA3,24444A,1000,-30116.75,30.126754761904763,0.0012511907596372634
0,Cliente 4,2023-08-02,XPIN,VIVA3,24445A,1600,-48229.83,30.14677380952381,0.0012540508956916023
823556,Cliente 4,2023-08-02,XPIN,VULC3,5079A,100,-2378.2021605279992,23.782021605279994,
823556,Cliente 4,2023-08-02,XPIN,VULC3,5080A,100,-2378.2021605279992,23.782021605279994,
823556,Cliente 4,2023-08-02,XPIN,VULC3,5081A,100,-2378.2021605279992,23.782021605279994,
0,Cliente 4,2023-08-03,XPIN,AMAR3,143A,12800,-12597.095256842762,0.9851268018588001,0.0063823850063543155
0,Cliente 4,2023-08-03,XPIN,AMAR3,144A,7600,-7502.42552660646,0.9824211038633143,0.007928090515583111
0,Cliente 4,2023-08-03,XPIN,ELET3,42507A,3100,-117320.26635243,39.999526352429996,20.226407234839442
0,Cliente 4,2023-08-03,XPIN,ELET3,42508A,1800,-71405.12762844999,39.31192157914,12.137137930992989
0,Cliente 4,2023-08-03,XPIN,GFSA3,43408A,4100,-25896.205803001598,6.406969806544381,0.15279393329831695
0,Cliente 4,2023-08-03,XPIN,GFSA3,43409A,2900,-18383.0091373152,6.4082006106047995,0.4181198758001444
823690,Cliente 4,2023-08-03,XPIN,GFSA3,43410A,200,-1296.8043346943998,6.484021673471999,
0,Cliente 4,2023-08-03,XPIN,GFSA3,43411A,4900,-31901.145049468796,6.609379003461817,0.3816067333264611
