,Cód. Cliente,Dt. Operação,Cód. Corretora,Cód. Título,Chave,Quantidade,Valor Líquido,Preço,Preço Var
0,Cliente 21,2023-09-20,INDU,PETR3,26261A,1900,-75933.28696703751,39.80526997434,20.323025468745126
0,Cliente 21,2023-09-21,CAPM,BPAC3,645A,4000,-57892.7051246025,14.760086167999999,1.411914666613397
0,Cliente 21,2023-09-21,CAPM,BPAC3,646A,1500,-21641.8642584325,14.188554686266665,1.441951503878182
0,Cliente 21,2023-09-21,INDU,COGN3,28590A,6000,-17550.620509708802,2.955326043243,0.06200158735847128
0,Cliente 21,2023-09-21,INDU,COGN3,28591A,10600,-30846.8842094592,2.9281633219834284,0.045863386055666575
542278,Cliente 21,2023-09-21,INDU,CURY3,10652A,500,-8650.903655204998,17.30180731041,
0,Cliente 21,2023-09-21,INDU,CURY3,10653A,800,-13208.956434317555,16.268315971987775,0.20974395009785254
0,Cliente 21,2023-09-21,INDU,CURY3,10654A,2400,-41128.14378918288,17.323087264634722,1.2981902415676867
0,Cliente 21,2023-09-21,INDU,CURY3,10655A,3600,-62288.378920333664,17.47091654894525,1.4450077751847812
0,Cliente 21,2023-09-21,INDU,CURY3,10656A,1200,-21206.596539300663,17.67216378275055,6.019683552230664
0,Cliente 21,2023-09-21,INDU,CURY3,10657A,200,-3188.694968463,15.943474842314998,0.39407018543605243
542322,Cliente 21,2023-09-21,INDU,GOAU4,27473A,300,-3671.7219650963075,12.239073216987691,
0,Cliente 21,2023-09-21,INDU,GOAU4,27474A,4600,-53475.71873790277,11.712169522400256,1.2112915509374438
542330,Cliente 21,2023-09-21,INDU,GOAU4,27475A,100,-1313.2556006341538,13.132556006341538,
0,Cliente 21,2023-09-21,INDU,GOAU4,27476A,1300,-15809.518116100924,12.171555172998973,0.005906857594684665
0,Cliente 21,2023-09-21,INDU,GUAR3,647A,9100,-55602.47740504073,6.100486790852919,0.21095424707268873
0,Cliente 21,2023-09-21,INDU,GUAR3,648A,20800,-117158.8730520557,6.037165619404178,0.09631703039573318
0,Cliente 21,2023-09-21,CAPM,RAIZ4,34519A,12500,-51492.82959552019,4.1711506752179135,0.11702137734813603
542428,Cliente 21,2023-09-21,INDU,VALE3,29533A,300,-23965.319277039995,79.88439759013332,
0,Cliente 21,2023-09-21,INDU,VALE3,29534A,1600,-120717.84161092131,74.81387046955999,105.79335300826915
